文本,正向情感比率,負向情感比率,情感分數
蝗蟲,0.0,0.0,0.0
支那人 最 愛 到 外國 討 民 主,0.125,0.0,1.7999999999999998
ㄏㄏ,1.0,0.0,1.2
支那 跟 英國 討論 民 主,0.0,0.0,0.0
以為 在 演 倫敦 蒙難 記 逆,0.0,0.0,0.0
新 八 國聯 軍 要 上演 了 嗎 哈哈 哈,0.2,0.0,2.5999999999999996
以前 英國人 在 中國 土地 殺人 會 被 中國 警,0.0,0.1,0.19999999999999996
察 釋放 現 在 英 國小 孬孬,0.0,0.0,0.0
智障 中國 人,0.0,0.3333333333333333,0.44999999999999996
支那 妓者 支那 水準,0.0,0.0,0.0
鬧 完 瑞典 換 英國 囉,0.0,0.0,0.0
支那人 說 人 沒 民 主 他們 知道 民 主 怎 寫 嗎,0.07692307692307693,0.0,1.1
支那 賤畜 就 是 垃圾 低賤 種族,0.0,0.14285714285714285,0.30000000000000004
嗆 中國 人 英國 沒有 民 主 笑死 xdddd,0.1111111111111111,0.1111111111111111,1.9500000000000002
屌 打 英國人 厲害 了 我 的 國,0.125,0.125,2.125
垃圾 支那人,0.0,0.5,0.30000000000000004
支那 賤畜 就該 待在 牆內 別 出來 禍害 人 世,0.0,0.1,0.35
言論 自由 不 是 這麼 用 的 啊 我 忘 了 中國 沒有,0.07692307692307693,0.07692307692307693,2.25
低能 本來 做完 筆錄 就 放 人 了 又 不 是 大 罪,0.0,0.15384615384615385,0.9
台女 不意 外,0.0,0.0,0.0
等等 我 懂 了 她 是 不 是 根本 就 搞 錯 國,0.0,0.07692307692307693,0.5
中國 肉便器 嗆 英國 沒有 民 主 笑死,0.125,0.125,1.9500000000000002
綠畜 台巴子 崩潰 真 好笑,0.2,0.2,1.75
體 跟 政體,0.0,0.0,0.0
濫用 他國 的自 由 罵 他國,0.0,0.16666666666666666,0.5
中國 或 成 最 大 贏 家,0.14285714285714285,0.0,1.55
好 想看 kina 高 潮 言論 xdd,0.14285714285714285,0.0,1.45
跟 籠子 裡 的 鳥 談 飛,0.0,0.0,0.0
最好 玩 的 是 英國 已經 把 人 釋放 了,0.2,0.0,2.5999999999999996
然後 中國 說 英國 已經 屈服 了,0.0,0.14285714285714285,0.7
用 這 記 者 的 方式 在 中國 問 問題 和 表達 意 見,0.0,0.07142857142857142,0.8500000000000001
紅 衛兵 出國 比 賽,0.0,0.0,0.0
可悲 可笑 支那人 只 敢 在 國 外 撒 野,0.0,0.2,0.9
會 發生 什麼 事 呢,0.0,0.0,0.0
看來 英國人 還 不懂 得 如何 和 中國 打 交 道 過 手,0.0,0.07692307692307693,0.55
民 主 國 家 做完 筆錄 釋放 不 是 很正 常 嗎 支那 都,0.0,0.0,0.0
人 限制 出境 了 嗎,0.0,0.2,0.8
直 接 關進 大 牢,0.0,0.0,0.0
文化 大 革命 的 味道 越來越 濃 厚 了,0.0,0.0,1.0
人 家 是 民 主 國 家 我 看 在 中國 已經 不知 道 開 幾,0.0,0.0625,0.8999999999999999
范 冰 冰 表 示,0.0,0.0,0.0
門 了,0.0,0.0,0.0
777 777 77 你們 沒有 民 主,0.0,0.14285714285714285,0.8500000000000001
支那 狗 畜 講 民 主,0.0,0.0,0.0
87 賤畜,0.0,0.0,0.0
seuil 但是 他 的 對手 是 中國 啊,0.0,0.125,0.95
英國 有 民 主 但 中國 人 則 無,0.0,0.0,0.0
從 沒 擁有 過 的 東西 要 他們 怎麼 懂 呢,0.09090909090909091,0.0,2.15
而且 其 實 可以 拘留 吧,0.0,0.16666666666666666,0.65
支那 懂 民 主,0.0,0.0,0.0
被 共產黨 洗腦洗 到 腦子 都 壞 了,0.0,0.0,0.0
英國 果 然 被 打 懵 了 xddd,0.0,0.125,0.55
勿 忘 64 天 安 門 戰車 絞 肉 機,0.0,0.0,0.0
中國 現 在 要 塑造 的 就 是 全 球 他 都 能 伸手 施壓,0.0,0.0,0.0
又 沒 羈押 當然 釋放 難 道 直 接 抓起 來關,0.09090909090909091,0.0,1.05
那 你 英國 還 在 那邊 配合 中國 的 腳 本,0.0,0.0,0.0
是 英國 不 了解 那 個 是 黨 中國 不 是 以前 的 那,0.07142857142857142,0.0,1.15
個 清國 而且 那 個黨 中國 跟 老蔣 那 個 中國 是,0.0,0.0,0.0
中國 人 認知 大概 被 官方 壓 走 就 是 跟 范 冰 冰 一,0.0,0.0,0.0
一樣 的 性子 也 是 英國 最 恨 的,0.0,0.1111111111111111,0.35
講 言論 自由 那 你 管 人 家會 議 講 什麼,0.09090909090909091,0.0,1.4
看到 支畜 持 續 在 各 國 刷 仇恨 值 我 就 放心 了,0.07142857142857142,0.07142857142857142,1.6
因為 現 在 是 媒 體 訊息 戰 啊 中國 說 英國 屈服,0.0,0.07692307692307693,0.7
中共 談 民 主 鳳 姐 立貞潔 牌坊,0.0,0.0,0.0
海 珊 最 和平 支那 談 民 主,0.125,0.0,1.35
法規 怎麼 寫 就 怎麼 做 又 沒 什麼 要 拘留 的 必,0.0,0.07692307692307693,0.65
英國 不該 表 示 嗎 限制 出境 了 沒有 啊,0.0,0.2,1.6500000000000001
到時 候 八 國聯 軍 教 中國 做人 就好 玩 惹 ㄏㄏ,0.16666666666666666,0.0,2.3499999999999996
標 準 中國 人,0.0,0.0,0.0
支那 微博 上 面 還 一 片 叫好 根本 世 界 奇觀,0.08333333333333333,0.0,1.6
英國 只要 回 該 名 涉 案 記 者 限制 出境,0.0,0.09090909090909091,0.8
就 可以 打臉 中國 了,0.0,0.0,0.0
直 接 驅逐 出境 永久 不得 入境 就好 了,0.0,0.2222222222222222,1.3
現 在 只要 這 中國 女 記 者 回 中國 那 就 勝利 了,0.07142857142857142,0.0,1.7
英國 是 老 牌 人權 言論 自由 國 家 這 種 罪行 也 不,0.07142857142857142,0.07142857142857142,1.75
me 410 那 也 要 經由 審判 才 可以 啊,0.0,0.1,0.75
智障,0.0,1.0,0.44999999999999996
西方 現 在 應 該 對 中國 民主自由 的 幻想 破滅,0.09090909090909091,0.18181818181818182,2.75
算 太重 很難 抓去 關 啦 頂 多 驅 除 出境,0.0,0.0,0.0
了 民 主 的 定義 已經 被 中共 改 得 亂七八糟,0.0,0.09090909090909091,0.525
灌輸 給 中國 人 了,0.0,0.2,0.95
沒有 審判 然後 那 記 者 回 中國,0.0,0.25,1.6
