字,值
垃圾,158.5627064
幹,149.4141414
智障,130.5785124
死,129.4947609
爛,108.7477079
呵呵,106.3368056
可憐,97.05882353
低能,91.97080292
真的,83.68794326
廢物,81.69014085
屎,77.77777778
狗,70.09616499
賤,68.59462202
可悲,63.15789474
屁,59.71077173
好笑,59.71077173
笑死人,58.06451613
靠北,58.06451613
崩潰,54.98960499
腦,53.8569425
豬,53.29648638
蘋果,51.3368984
滾,49.80002963
騙,48.22182037
廢,47.04
屁事,46.91358025
吃屎,46.91358025
鄉民,46.75288555
操,45.05999111
腦子,43.90243902
黨工,43.90243902
棒棒,42.42424242
下限,42.42424242
護航,40.96385542
資進黨,39.52095808
賤畜,33.91812865
不愧,31.21387283
畜,31.21387283
造謠,31.21387283
五毛,31.21387283
人渣,31.21387283
抹黑,30.86196504
假,30.34888609
悲哀,29.88505747
慘,29.43641033
蠢,29.40108893
病,29.23976608
哭哭,28.57142857
肥宅,27.27272727
沒救,27.27272727
支那人,27.27272727
日常,26.50980392
可撥,25.98870056
傻,25.14880952
科科,24.71910112
無恥,24.18285714
酸,23.92026578
糞,23.85951517
黑人,22.91666667
沒用,22.58823529
母豬,22.22222222
毒瘤,22.22222222
可惡,21.39699381
反串,20.99447514
畜牲,20.99447514
粉,20.19469364
畜生,20.16
哭,19.08526256
台女,18.57923497
草包,18.57923497
廢到,18.57923497
乖乖,18.57923497
幹話,18.57923497
唬,18.57923497
屁話,17.39130435
爽爽,17.39130435
地獄,16.54749745
民進黨,16.50285714
鬼島,16.21621622
好爽,16.21621622
廢話,16.21621622
自慰,16.21621622
蛆,15.62881563
甲,15.05376344
歧視,14.19798575
閉嘴,13.90374332
下場,13.90374332
肥,13.90374332
智力,13.90374332
可笑,13.90374332
補噓,13.90374332
瞎,13.31521739
洗腦,13.31521739
大便,13.31521739
恐怖,13.10107059
酬庸,12.76595745
真爽,12.76595745
很爛,12.76595745
台北人,12.76595745
看不下去,12.76595745
滯台,12.76595745
歪,12.76595745
敗類,12.76595745
賣,12.71787474
共產黨,12.18018018
老人,11.97126895
根本就是,11.96581197
文組,11.64021164
衰,11.64021164
屁眼,11.64021164
拉屎,11.64021164
賤種,11.64021164
無知,11.64021164
弱智,11.64021164
玻璃心,11.64021164
女權,11.64021164
倒楣,11.64021164
包子,11.64021164
仇,11.64021164
白目,11.64021164
小心,11.49864628
習,11.05990783
爸,10.88888889
打臉,10.86467374
傻眼,10.86467374
覺青,10.52631579
臉皮,10.52631579
自找,10.52631579
屁股,10.52631579
賭爛,10.52631579
凹,10.52631579
去死吧,10.52631579
超爽,10.52631579
瞧不起,10.52631579
笨蛋,10.52631579
無腦,10.52631579
屁用,10.52631579
仇女,10.52631579
坐牢,9.954751131
獨派,9.954751131
急著,9.954751131
民進,9.954751131
看成,9.954751131
老實,9.954751131
斃,9.954751131
笨,9.954751131
實施,9.954751131
祖國,9.954751131
活摘,9.954751131
檢署,9.954751131
攻,9.954751131
採訪,9.954751131
惟,9.954751131
須,9.954751131
未,9.934318555
謝謝,9.8284385
好看,9.8284385
好奇,9.8284385
打死,9.8284385
母親,9.8284385
設立,9.782608696
男人,9.782608696
賊,9.782608696
主委,9.782608696
發生,9.757716562
人會,9.633911368
爭議,9.633911368
平常,9.523809524
行政院,9.523809524
實,9.501250164
版,9.501250164
大學,9.440559441
職位,9.42408377
拔,9.42408377
真不,9.42408377
共匪,9.42408377
進攻,9.42408377
真敢,9.42408377
涼,9.42408377
想選,9.42408377
倒台,9.42408377
恭喜,9.42408377
抓起,9.42408377
捏,9.42408377
沒寫,9.42408377
原來是,9.42408377
隊友,9.42408377
下流,9.42408377
民進洞,9.42408377
轉彎,9.42408377
取暖,9.42408377
真衰,9.42408377
告死,9.42408377
低端,9.42408377
不信,9.42408377
可取,9.42408377
幫高,9.42408377
董事,9.28030303
詞,9.28030303
鼓勵,9.28030303
父親,9.28030303
團隊,9.28030303
紅,9.267103068
提出,9.205287466
局,9.074410163
輸,9.074410163
罪,9.071580439
喜歡,9.053291536
擋,8.991753126
方案,8.991753126
演,8.991753126
受,8.881578947
窮,8.865248227
捧,8.865248227
嘴巴,8.865248227
偷,8.865248227
無誤,8.865248227
出席,8.865248227
要死,8.865248227
糟糕,8.865248227
屁孩,8.865248227
配,8.865248227
消滅,8.865248227
教育部,8.865248227
好人,8.865248227
資金,8.865248227
溫馨,8.865248227
關閉,8.865248227
面臨,8.865248227
缺,8.791208791
消息,8.791208791
科技,8.791208791
言論,8.791208791
良心,8.791208791
打到,8.791208791
瘋,8.791208791
看不起,8.720720721
貓,8.720720721
射,8.720720721
舒服,8.720720721
論壇,8.720720721
黑道,8.720720721
官網,8.720720721
旅客,8.720720721
電腦,8.720720721
最新,8.720720721
想,8.66489832
平均,8.66489832
賞,8.333333333
綠粉,8.333333333
堪慮,8.333333333
腦粉,8.333333333
老爸,8.333333333
沒死,8.333333333
幫補,8.333333333
學店,8.333333333
投胎,8.333333333
無敵,8.333333333
運氣,8.333333333
釣出,8.333333333
指教,8.333333333
給噓,8.333333333
關到,8.333333333
弄死,8.333333333
補刀,8.333333333
放火,8.333333333
偉哉,8.333333333
耖,8.333333333
靠背,8.333333333
貨色,8.333333333
沒在,8.333333333
先知,8.333333333
粉粉,8.333333333
能護,8.333333333
奶,8.333333333
可愛,8.333333333
文革,8.333333333
補血,8.333333333
褲子,8.333333333
沒水,8.333333333
死光,8.333333333
堪憂,8.333333333
報應,8.333333333
來亂,8.333333333
互打,8.333333333
咖小,8.333333333
真慘,8.333333333
人才,8.317089019
輩子,8.302628347
菜,8.302628347
國際,8.037825059
市場,8
咬,8
知名,8
老母,7.792207792
肚子,7.792207792
不先,7.792207792
看不出,7.792207792
強姦,7.792207792
天堂,7.792207792
不理,7.792207792
侮辱,7.792207792
極限,7.792207792
獲利,7.792207792
錄用,7.792207792
報有,7.792207792
投案,7.792207792
趨勢,7.792207792
紛紛,7.792207792
新,7.787725164
安排,7.778849245
血,7.778849245
鍋,7.778849245
統計,7.778849245
職務,7.778849245
浪費,7.725714286
減少,7.725714286
火,7.725714286
認定,7.725714286
離開,7.725714286
增加,7.71549126
行政,7.68627451
滿滿,7.680491551
搞笑,7.680491551
撈,7.680491551
捐,7.680491551
執政黨,7.680491551
忘記,7.680491551
檢舉,7.680491551
渣,7.680491551
公室,7.680491551
已有,7.680491551
專案,7.680491551
人員,7.606263982
帶來,7.354443309
混,7.354443309
人數,7.354443309
公司,7.327001357
越來越,7.291666667
白海豚,7.25388601
公子,7.25388601
怪人,7.25388601
裝死,7.25388601
搞成,7.25388601
罷,7.25388601
沒變,7.25388601
遺毒,7.25388601
婊,7.25388601
假哭,7.25388601
有鬼,7.25388601
來護,7.25388601
綠畜,7.25388601
手腳,7.25388601
民黨,7.25388601
搞臭,7.25388601
招數,7.25388601
廢文,7.25388601
太弱,7.25388601
打錯,7.25388601
新潮流,7.25388601
學學,7.25388601
過失,7.25388601
殺死,7.25388601
講出,7.25388601
長相,7.25388601
孩,7.25388601
推爆,7.25388601
文盲,7.25388601
狗報,7.25388601
要關,7.25388601
毛病,7.25388601
沒過,7.25388601
吱障,7.25388601
上工,7.25388601
肛,7.25388601
犯人,7.25388601
謀殺,7.25388601
不得好死,7.25388601
撞死人,7.25388601
釣到,7.25388601
噓文,7.25388601
肥貓,7.25388601
乖,7.25388601
沒關,7.25388601
感謝,7.236137872
真實,7.236137872
要用,7.03692934
腰,7.03692934
透,7.03692934
縣,7.03692934
潑,7.03692934
考量,7.03692934
產品,7.03692934
價格,7.03692934
規劃,6.818181818
躲,6.818181818
題,6.818181818
綠色,6.793478261
貪,6.793478261
更是,6.793478261
措施,6.793478261
最多,6.793478261
妹,6.793478261
作業,6.793478261
決,6.793478261
危機,6.793478261
詢問,6.793478261
變,6.75
決策,6.736842105
崩,6.736842105
神經病,6.736842105
打成,6.736842105
跪,6.736842105
無能,6.736842105
活著,6.736842105
要選,6.736842105
卦,6.736842105
民代,6.736842105
稅金,6.736842105
流氓,6.736842105
頭腦,6.736842105
納入,6.736842105
基地,6.736842105
眼光,6.736842105
心想,6.736842105
意,6.736842105
講話,6.736842105
負擔,6.736842105
酸民,6.736842105
串,6.736842105
雨勢,6.736842105
通報,6.736842105
堆,6.736842105
費用,6.736842105
造假,6.736842105
加速,6.736842105
審議,6.736842105
受訪,6.736842105
陪同,6.736842105
坦承,6.736842105
提及,6.736842105
提前,6.736842105
等待,6.736842105
開賣,6.736842105
項,6.736842105
足,6.663924311
常識,6.663924311
炒,6.663924311
插,6.663924311
版本,6.663924311
禍,6.663924311
逼死,6.663924311
下水,6.663924311
偵辦,6.663924311
致死,6.663924311
抄,6.663924311
基礎,6.663924311
規模,6.663924311
邀請,6.663924311
難以,6.663924311
個性,6.663924311
令,6.663924311
派,6.639566396
買,6.586894587
氣,6.486365167
問,6.482593037
沒辦,6.451612903
忘,6.451612903
貼,6.451612903
考,6.437882416
