all_10,all_15,all_20,select_20,select_15,select_10
臭宅,操,賤渣,臭宅,臭宅,臭宅
 名嘴, 台巴子, 操, 名嘴, 名嘴, 名嘴
 關電視, 版會, 台巴子, 混蛋, 操, 操
 真該, ?, 版會, 操, 周玉蔻, 淦
 混蛋, 幹, ?, 周玉蔻, 畜牲, 宅
 操, 拉幹, 幹, 畜牲, 台巴子, 支畜
 畜牲, zzz, 拉幹, 台巴子, 版會, 吃大便
 淦, 魯魯, zzz, 版會, 淦, 雜碎
 宅, 死一死, 魯魯, 淦, 幹大, ?
 方害, 甲爆, 訓民, 幹大, 宅, 人酸
 最該, 對岸, 死一死, 宅, 支畜, 板友
 支畜, 政經, 甲爆, 神邏輯, 白爛, 幹
 吃大便, 沒腦, 對岸, 支畜, 飆車, 言而無信
 雜碎, 北七, 政經, 白爛, 吃大便, 會信
 ?, 中國, 幹肥宅, 飆車, 老不死, 癡
 精神病, 渣台, 沒腦, 吃大便, 雜碎, 綠色的
 柯粉馬, 菊粉, 北七, 老不死, ?, 廟會
 人酸, 渣男, 中國, 雜碎, 人酸, 食屎
 板友, 這我一定吉, 渣台, ?, 板友, 八加九
 幹, 了滾, 菊粉, 人酸, 無信, 死一死
 言而無信, 稅養, 渣男, 板友, 言而無信, 甲爆
 會信, 柯屁, 這我一定吉, 無信, 幹, 去死吧
 癡,426, 了滾, 言而無信, 會信, 王八蛋
 啃老族, 死於非命, 稅養, 幹, 癡, 廢渣
 realcn, 散布者, 迷迷, 嘻嘻, 特發文, 滾幹
 滯礙, 酸酸, 柯屁, 會信, 仇富, 陣頭
 下標, 藥醫,426, 癡, 綠色的, 混混
 仇富, 八版, 死於非命, 特發文, 拉幹, 廢宅
 綠色的, 採蜜, 嘴臭, 專收, 廟會, 支那人
 退休金, 賤貨, 散布者, 仇富, zzz, 政經
 廟會, 咖小, 酸酸,87, 食屎, 抹黑
926, 某樓, 無恥, 綠色的, 八加九, 北七
 食屎, 太妹, 作奸犯科, 拉幹, 死一死, 無腦
 柯衛兵, 拉機, 藥醫, 廟會, 甲爆, 小混混
 八加九, 韓粉, 藍媒, zzz, 去死吧, 中國
 保政, httpsiimgurcom5mWppJijpg, 八版, 食屎, 王八蛋, 共狗
 死一死, 共匪, 採蜜, 嗆我嗆夠了沒, 對岸, 愛酸
