Content,Answer
檢再家等待百姓拿證據去 看關係好不好,0
 @路 平  韓國瑜準備出發幫林耕仁助選掃街,0
"可憐的高雄，在這次選舉完全被邊緣化,邁邁加油阿，生意越來越難做",0
所有政治人物都是為了錢，新竹房價高了又高,0
 @路 平  你也幫幫忙，在競選場合上台公開演說的是吳子嘉好不好。🙄 反正最愛看這樣狗咬狗一嘴毛的血流成河。🤣 讓我們繼續看下去。😂,0
十里山路不換堅,0
 @彭培等著小旋  高嘉瑜 也會持續關注到底網軍能將黨 害到什麼程度☠️,0
欸，不是吧？最想學毛的，不就那個有語錄，還派爪牙強迫地方官背4個煎匙那個？？🤣🤣,1
誰讓你撲球阿！不會撲就不要撲，動不動就撲球。,0
非常感謝智堅市長讓我們變古巴一樣將來我們一定能成為棒球世界強國！,1
越打高虹安，我越支持他,1
要是有大新竹，竹縣跟苗栗這麼藍，民進黨未來在新竹沒機會。,0
難得翻牆出來的這麼好笑! 給你一個讚,0
女廁門是由內往外推，那個鎖也鎖不起來😛🤣,0
請把懷疑拿掉 謝謝,0
台北市議員官威太偉大，質詢就威風，台灣人民看不下去了，不拿市政建設做良善的質詢，看了讓人不知道言之何物？,0
簡舒培政黨色彩太重.沒什麼水準問政方式.,1
難 塔綠班就愛這個味,1
＠ChingAn Lee 我跟你擔保錢沒有亂用！大部分的錢只不過是從公庫移到某些人的口袋而已，根本就沒有花用，那有什麼亂用，明白嚄？,0
民進黨要中國化台灣，建築工程上方面,0
.唯獨貪污 一路走來 始終如一....貪得無厭 貪小便宜... ....一上任 就開始貪了.......苛薄的嘴臉 真夠嗆的.....😈😈 如果 詭辯安 公款私用 涉詐領助理費 無罪的話....... ...我鼓勵 全臺灣 議員 立委 通通都這樣做..讓臺灣成為貪污者的天堂,1
打掉重蓋 再花十二億 抗中保台 賀某~,0
柯文哲是政務官，本就有義務講清楚自己的立場，柯文哲不是普通人，了解嗎？若柯文哲對自己言行不想負責，麻煩辭職下台，那麼他就不需為他自己的國家認同道歉。而柯文哲身為手握千億預算的政務官，憑啥逃避監督不講清楚自己立場？何況是柯文哲自己先跑去罵總統文告，議員還不能質詢喔？那你們節目怎不先去把柯文哲的嘴管好咧？,0
恭喜塔綠班造神又跌落神壇,1
羞辱到沒臭沒小～,1
助理們若被約談不說實話，很可能會被多判一條罪，就是偽證罪.,0
用別人的錢做自己的事，不節約但一定有效率,0
現在連台灣也學大陸要背領導人的金句了？！,0
只要智商正常的都能看出吳董就是在抬轎😒😒😒,1
其他的公園阿，動物園，公共建設都是這樣搞的，拍照可以，要使用就抱歉。,0
不要阻止唬爛節目開講 這樣才會一路敗到總統大選👍,1
好的塔綠班,1
塔綠品質，以卵擊石,1
簡舒培一個議員，不好好問市政，利用議會殿堂狐假虎威霸凌首都市長，還不就是因為阿伯是2024大選最具威脅的候選人⋯⋯不好意思，這樣一搞我更確定要投給阿伯，而且我2022還要投給民眾黨，因為我怕以後每天上班都要背誦蔡語錄，不然我就得公開向蔡英皇道歉，不然我就是中共同路人,1
超想女紅衛兵再鬥爭,1
何必隨風起舞？什麼叫做四個堅持？為何要知道？莫名其妙！,0
眠進洞執政，舉債令人民倒欠沒完沒了，領了五倍卷也是要倒欠,1
柯P：你明天插管再來找我，先幫你轉精神科！,1
董事長真的好聰明吖，見面會爆料真是扎實，董事長好樣的,1
到底是台北市議員 還是民進黨發言人 簡議員 要搞清楚狀況， 請用心關心市政 而不是搞意識形態,0
~喵 對啊 創黨至今才多久 又有錢可選舉 ~喵,0
 @清水美恵  唯一能解釋的就是讓他當選要使他沒立委身份保護傘，但就算市長抓走了還有副市長呀！,0
簡舒培對不起 我真的不想複誦,0
堅持大港你贏，堅持反中保台，堅持高端疫苗，堅持騙騙騙啦！,0
所以抹黑造謠都不用負法律責任嗎？ 贛 難怪整個臺灣社會亂成這樣！,0
古有毛語錄 今有蔡語錄 4大堅持缺一不可 1堅持不要臉 2堅持不認錯 3堅持甩鍋 4堅持雙標~,1
免驚！落選上中央當大官，陪選民玩家家酒！,0
寶傑說的對，好像潑婦罵街,1
鴨霸賠。,1
 @林再發  沒辦法，有人只會看綠黨懶人包，事實都不看的,0
簡這樣很丟臉,0
中國去年底就號稱自己防疫成績是世界最成功，而今各地爆發白紙革命與經濟一片淒慘、失業率大大提高、青年失業約20%，收入普遍明顯下跌、房地產空屋遍全中國、負債快速增加已達近400兆人民幣、今年中央地方赤字約12兆人民幣，現在看起來已是世界上最差最糟糕的防疫國家。 記得之前藍營一堆親中親共反美份子及媒体，還在為中國的防疫歌功頌德，反而拚命抹黑唱衰台灣蔡政府、陳時中的防疫政策，當初選擇相信藍營、紅媒宣傳的群眾，今日不就證實被藍營所欺騙及誤導。,0
許多人雖無157，可是，判斷牠在耍猴戲的能力，還是有的啦！,1
沒想到新竹棒球場整建重大工程12億是某些政治人物決定該花多少的! 沒有經過專業評估投標與發包施工管理嗎? 難怪整建後品質會這麼爛，還敢先啟用...只為宣傳政績嗎?,0
現在追查的重點是 為何別層都沒掉 只有救國團動工的那層 掉 🙂🙂,0
"""私底下不是這種人""，表示議事廳上都是裝的，還是議事廳上就不裝了?",0
嫌票太多,0
為何都不報導坤輿掩埋場? 選擇忽視,0
人民12億的辛苦納稅扣扣，搞成這樣……,0
看太多綠的扛法 經驗法則 放心小智不會有事的啦！ 一定是包商扛的 到時候看檢調怎麼辦😆,1
一定要投高虹安⋯揭開 新竹所以工程的貪瀆弊案！給新竹民眾一個公道,0
新竹這位立委12億到底拿了幾億,0
新潮流真的很像共產黨,1
蔡英文是总统？省长吧。,1
何謂嘴臉，這就是嘴臉,0
 @彭培等著小旋  是啊是啊 所以今年 民進黨才會輸到脱內褲😆,0
民進黨還想選喔！我都很後悔之前投給民進黨了,0
本節目墮落到到讓”無“ 先生“闢” 他自己的 “謠” 還讓他扯那麼久。,1
哪一國民調？,0
怎麼罷掉他，求教,0
看不起台灣人的智商了 搞得好像我們都沒有眼睛跟耳朵一樣,0
那個女人眼睛下三白眼神殺氣很重˙凶起來很恐怖像殺人犯,1
